x,temperature,pressure,something Else
0.01,0.999950000416665,0.00999983333416666,0.989950167082499
0.02,0.999800006666578,0.0199986666933331,0.979801339973245
0.03,0.999550033748988,0.0299955002024957,0.969554533546492
0.04,0.999200106660978,0.0399893341866342,0.959210772474344
0.05,0.998750260394966,0.0499791692706783,0.948771091124288
0.06,0.998200539935204,0.0599640064794446,0.93823653345576
0.07,0.99755100025328,0.0699428473375328,0.927608152915747
0.08,0.996801706302619,0.0799146939691727,0.916887012333447
0.09,0.995952733011994,0.089878549198011,0.906074183813983
0.1,0.995004165278026,0.0998334166468282,0.895170748631197
0.11,0.993956097956697,0.109778300837175,0.884177797119522
0.12,0.992808635853866,0.119712207288919,0.873096428564947
0.13,0.991561893714788,0.129634142619695,0.861927751095093
0.14,0.990215996212637,0.139543114644236,0.850672881568401
0.15,0.988771077936042,0.149438132473599,0.839332945462443
0.16,0.987227283375627,0.159318206614246,0.827909076761381
0.17,0.985584766909561,0.169182349066996,0.816402417842565
0.18,0.983843692788121,0.179029573425824,0.804814119362297
0.19,0.98200423511727,0.188858894976501,0.79314534014077
0.2,0.980066577841242,0.198669330795061,0.78139724704618
0.21,0.978030914724148,0.2084598998461,0.769571014878049
0.22,0.975897449330606,0.218229623080869,0.757667826249736
0.23,0.973666395005375,0.227977523535188,0.745688871470186
0.24,0.97133797485203,0.237702626427135,0.733635348424895
0.25,0.968912421710645,0.247403959254523,0.721508462456122
0.26,0.966389978134513,0.257080551892155,0.709309426242358
0.27,0.963770896365891,0.266731436688831,0.697039459677059
0.28,0.961055438310771,0.276355648564114,0.684699789746657
0.29,0.958243875512697,0.285952225104836,0.672291650407862
0.3,0.955336489125606,0.29552020666134,0.659816282464266
0.31,0.952333569885713,0.305058636443443,0.64727493344227
0.32,0.949235418082441,0.314566560616118,0.634668857466323
0.33,0.946042343528387,0.324043028394868,0.621999315133519
0.34,0.942754665528346,0.333487092140814,0.609267573387532
0.35,0.939372712847379,0.342897807455451,0.596474905391928
0.36,0.935896823677935,0.35227423327509,0.583622590402845
0.37,0.932327345606034,0.361615431964962,0.570711913641073
0.38,0.92866463557651,0.370920469412983,0.557744166163528
0.39,0.924909059857313,0.380188415123161,0.544720644734152
0.4,0.921060994002885,0.389418342308651,0.531642651694235
0.41,0.917120822816605,0.398609327984423,0.518511494832182
0.42,0.913088940312308,0.40776045305957,0.505328487252738
0.43,0.908965749674885,0.416870802429211,0.492094947245674
0.44,0.904751663219963,0.425939465066,0.478812198153964
0.45,0.900447102352677,0.43496553411123,0.465481568241447
0.46,0.896052497525525,0.44394810696552,0.452104390560006
0.47,0.891568288195329,0.452886285379068,0.438682002816261
0.48,0.886994922779284,0.461779175541483,0.425215747237801
0.49,0.882332858610122,0.470625888171158,0.411706970438964
0.5,0.877582561890373,0.479425538604203,0.39815702328617
0.51,0.872744507645751,0.488177246882908,0.384567260762844
0.52,0.86781917967765,0.496880137843737,0.370939041833913
0.53,0.862807070514761,0.505533341204847,0.357273729309914
0.54,0.857708681363824,0.514135991653113,0.343572689710711
0.55,0.852524522059506,0.522687228930659,0.329837293128846
0.56,0.847255111013416,0.531186197920883,0.316068913092533
0.57,0.841900975162269,0.539632048733969,0.3022689264283
0.58,0.836462649915187,0.548023936791874,0.288438713123313
0.59,0.830940679100163,0.556361022912784,0.27457965618738
0.6,0.825335614909678,0.564642473395035,0.260693141514643
0.61,0.819648017845479,0.572867460100481,0.246780557744998
0.62,0.813878456662534,0.581035160537305,0.232843296125229
0.63,0.808027508312152,0.58914475794227,0.218882750369882
0.64,0.802095757884293,0.597195441362392,0.204900316521901
0.65,0.796083798549056,0.60518640573604,0.190897392813016
0.66,0.789992231497365,0.613116851973434,0.176875379523931
0.67,0.783821665880849,0.62098598703656,0.16283567884429
0.68,0.777572718750928,0.628793024018469,0.148779694732459
0.69,0.771246014997107,0.636537182221968,0.134708832775139
0.7,0.764842187284488,0.644217687237691,0.120624500046797
0.71,0.758361875990508,0.651833771021537,0.106528104968972
0.72,0.751805729140895,0.659384671971473,0.0924210571694219
0.73,0.74517440234487,0.666869635003698,0.0783047673411725
0.74,0.738468558729588,0.674287911628145,0.0641806471014429
0.75,0.731688868873821,0.681638760023334,0.0500501088504867
0.76,0.724836010740905,0.688921445110551,0.0359145656303539
0.77,0.717910669610943,0.696135238627357,0.0217754309835867
